CLIENTNUM;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Credit_Limit;Total_Revolving_Bal;Avg_Open_To_Buy;Total_Trans_Amt;Total_Trans_Ct;
713220258;Existing Customer;65;F;0;High School;Married;Unknown;Blue;36;4;3;8138;2104;6034;1299;29;
813469458;Existing Customer;26;F;1;Graduate;Single;$40K - $60K;Blue;20;6;3;1438.3;673;765.3;2167;48;
788939358;Existing Customer;47;M;2;High School;Unknown;$60K - $80K;Blue;33;4;2;2458;1399;1059;1563;40;
718870158;Existing Customer;47;M;4;High School;Married;$60K - $80K;Blue;34;5;2;4592;1635;2957;1772;52;
788673708;Attrited Customer;57;F;2;High School;Married;$40K - $60K;Blue;45;2;1;1438.3;0;1438.3;1254;35;
711809283;Existing Customer;31;M;1;Unknown;Married;Less than $40K;Blue;36;3;3;1868;1515;353;2229;35;
816513108;Existing Customer;54;M;4;Graduate;Married;$60K - $80K;Blue;49;3;1;5269;1099;4170;2195;63;
718594608;Existing Customer;43;F;2;Post-Graduate;Married;Unknown;Blue;36;3;3;20156;1759;18397;1362;28;
823606983;Existing Customer;39;M;2;College;Married;$60K - $80K;Blue;35;4;3;7410;2517;4893;2398;37;
717028158;Existing Customer;53;M;3;Graduate;Married;$120K +;Blue;44;3;2;12163;2082;10081;2649;56;
788485908;Existing Customer;44;M;3;Unknown;Married;$60K - $80K;Blue;37;3;2;6224;0;6224;1463;34;
714472608;Existing Customer;59;M;0;College;Married;Less than $40K;Blue;49;3;3;4250;1095;3155;1174;27;
710793783;Existing Customer;53;F;3;Graduate;Married;Unknown;Blue;40;6;3;12059;1978;10081;1836;36;
794340033;Existing Customer;34;F;3;Uneducated;Married;$40K - $60K;Blue;28;5;1;2799;1762;1037;1817;39;
716462658;Existing Customer;47;M;4;Doctorate;Single;$80K - $120K;Blue;36;3;1;18037;0;18037;1387;36;
718050033;Existing Customer;54;M;2;College;Married;$120K +;Blue;43;3;2;5657;1719;3938;2028;55;
714023808;Existing Customer;42;F;2;Graduate;Married;Unknown;Blue;33;6;1;13770;2517;11253;1582;36;
716341833;Existing Customer;53;F;3;College;Married;Less than $40K;Blue;44;6;2;4646;1730;2916;1774;37;
719648358;Existing Customer;50;M;2;Graduate;Single;$80K - $120K;Blue;35;3;3;2514;1521;993;1636;36;
816600933;Attrited Customer;56;M;0;College;Married;$80K - $120K;Blue;51;3;2;14501;0;14501;1031;25;
714208533;Attrited Customer;43;M;3;High School;Married;$60K - $80K;Blue;36;1;3;8663;288;8375;916;33;
713095533;Existing Customer;44;F;4;High School;Divorced;Less than $40K;Blue;36;5;3;2333;1485;848;1198;31;
809967783;Existing Customer;34;F;4;Graduate;Divorced;$40K - $60K;Blue;26;5;5;3038;1539;1499;2189;54;
715848408;Existing Customer;61;M;1;Graduate;Unknown;$80K - $120K;Blue;52;6;6;8851;0;8851;1257;36;
714414483;Existing Customer;54;F;0;Unknown;Married;Less than $40K;Blue;44;6;3;2945;2206;739;1503;35;
708655983;Existing Customer;49;F;3;High School;Divorced;Unknown;Blue;40;3;3;5267;0;5267;1353;24;
720426708;Attrited Customer;56;M;3;High School;Single;$60K - $80K;Blue;45;2;1;8512;0;8512;811;27;
713743158;Existing Customer;47;M;1;Graduate;Married;$60K - $80K;Blue;36;4;3;19063;1714;17349;1270;21;
721279083;Existing Customer;53;M;4;Graduate;Single;$80K - $120K;Blue;33;5;3;5376;1177;4199;1840;53;
779149683;Existing Customer;30;F;0;Graduate;Divorced;Unknown;Blue;13;5;1;7772;1890;5882;2585;75;
714970458;Existing Customer;39;F;2;High School;Married;$40K - $60K;Blue;29;6;1;9173;2047;7126;1807;33;
719070108;Existing Customer;44;M;2;Graduate;Married;$80K - $120K;Silver;35;4;1;34516;1726;32790;1729;52;
715490733;Existing Customer;54;F;3;Uneducated;Single;Unknown;Blue;36;5;1;11975;1542;10433;1211;35;
714989583;Existing Customer;46;M;2;Graduate;Married;$60K - $80K;Blue;36;3;2;15405;1691;13714;1763;44;
820355433;Existing Customer;43;M;3;Unknown;Single;$40K - $60K;Blue;38;6;1;2615;0;2615;1395;34;
715901508;Existing Customer;35;M;1;High School;Married;$80K - $120K;Blue;25;6;1;23991;2307;21684;1843;43;
710370483;Existing Customer;39;F;4;College;Married;Less than $40K;Blue;31;4;3;1888;1292;596;1517;33;
778573233;Existing Customer;61;F;1;Graduate;Married;Less than $40K;Blue;54;3;2;3102;2091;1011;1977;50;
708833133;Existing Customer;40;F;3;Graduate;Divorced;Less than $40K;Blue;29;5;2;3170;2517;653;2027;49;
719885883;Existing Customer;53;M;3;College;Single;$120K +;Blue;36;6;2;34516;1901;32615;1497;43;
712523283;Existing Customer;55;M;2;Unknown;Married;$120K +;Blue;41;4;3;14938;0;14938;1134;31;
711309033;Existing Customer;41;M;2;Unknown;Single;$60K - $80K;Blue;24;6;2;17298;2310;14988;3663;65;
708134283;Existing Customer;35;M;2;Uneducated;Married;Less than $40K;Blue;36;4;3;3131;629;2502;1483;31;
720147633;Existing Customer;61;M;1;Unknown;Single;$40K - $60K;Blue;47;3;2;11915;1631;10284;1956;63;
708983658;Attrited Customer;51;M;2;Uneducated;Single;$120K +;Blue;39;3;3;16868;0;16868;940;25;
766285608;Existing Customer;42;M;3;High School;Single;$40K - $60K;Blue;35;4;3;3266;1900;1366;2183;56;
779715108;Existing Customer;46;M;2;Unknown;Divorced;$80K - $120K;Blue;30;3;3;2770;1286;1484;2920;74;
798035358;Existing Customer;46;F;4;High School;Single;Less than $40K;Blue;40;3;2;3556;2172;1384;1221;41;
719391783;Existing Customer;46;M;4;Uneducated;Married;$40K - $60K;Blue;35;3;2;9149;1566;7583;1790;60;
809342208;Existing Customer;26;M;0;Graduate;Single;Unknown;Blue;19;4;1;1438.3;0;1438.3;2005;47;
780713058;Existing Customer;46;M;3;High School;Married;$60K - $80K;Blue;35;4;3;14701;1635;13066;3490;69;
779338683;Existing Customer;62;M;1;Graduate;Married;$60K - $80K;Blue;44;5;2;14825;962;13863;1904;49;
783387783;Existing Customer;55;M;2;Uneducated;Divorced;$60K - $80K;Blue;49;4;5;10127;1873;8254;1647;53;
787800108;Existing Customer;55;M;2;College;Married;$80K - $120K;Blue;45;5;1;2929;2431;498;1903;39;
721397808;Existing Customer;32;M;0;High School;Married;$40K - $60K;Blue;24;5;2;3735;1176;2559;1564;41;
778698408;Existing Customer;37;F;4;Uneducated;Married;Less than $40K;Blue;18;5;1;2930;2024;906;1686;34;
709545333;Existing Customer;33;F;4;High School;Single;Unknown;Blue;29;6;2;12716;1496;11220;2412;64;
716032233;Existing Customer;42;M;2;College;Married;$80K - $120K;Blue;32;5;2;22120;1805;20315;3981;65;
717835908;Existing Customer;33;M;2;Post-Graduate;Married;$80K - $120K;Blue;22;3;3;1438.3;681;757.3;2730;48;
719466558;Existing Customer;60;F;0;High School;Single;Unknown;Blue;36;3;2;4546;0;4546;1361;34;
778663458;Attrited Customer;65;M;1;High School;Married;Less than $40K;Blue;47;3;2;1759;0;1759;821;18;
716024808;Attrited Customer;57;M;1;Graduate;Married;$80K - $120K;Blue;36;3;3;4829;2418;2411;938;21;
713008308;Existing Customer;59;F;0;Unknown;Married;Less than $40K;Blue;47;5;3;7692;1678;6014;1861;42;
794831733;Existing Customer;45;F;5;Graduate;Married;Less than $40K;Blue;39;4;3;2156;1208;948;1345;28;
713854608;Existing Customer;62;M;1;Uneducated;Married;$60K - $80K;Blue;36;6;3;9521;1669;7852;2444;63;
715993608;Existing Customer;51;M;2;College;Single;$120K +;Blue;41;6;3;26714;2517;24197;1686;50;
789368658;Existing Customer;57;M;2;Graduate;Married;$80K - $120K;Blue;47;6;2;2092;1387;705;1468;30;
802817358;Existing Customer;38;F;3;High School;Married;Unknown;Blue;32;4;2;11594;2072;9522;2320;51;
708098133;Existing Customer;32;F;0;Graduate;Married;Less than $40K;Blue;19;6;1;2834;1418;1416;1598;39;
801499908;Existing Customer;43;F;4;Graduate;Married;Less than $40K;Blue;37;4;3;4724;2056;2668;1232;31;
824770683;Existing Customer;51;F;0;Unknown;Divorced;Less than $40K;Blue;47;6;4;3049;1151;1898;4027;76;
718310733;Existing Customer;50;M;2;Unknown;Divorced;$80K - $120K;Blue;36;4;3;20614;0;20614;1922;48;
708162558;Existing Customer;64;F;0;Uneducated;Married;Unknown;Blue;54;6;1;3250;1992;1258;1355;36;
721129383;Existing Customer;53;F;1;Doctorate;Married;Less than $40K;Blue;36;3;1;3128;2517;611;2361;42;
721249158;Attrited Customer;42;M;2;Uneducated;Single;$60K - $80K;Blue;30;2;2;6414;0;6414;708;14;
721049658;Existing Customer;53;M;3;Graduate;Single;$80K - $120K;Blue;34;6;3;2506;0;2506;1687;62;
806392908;Existing Customer;52;F;4;High School;Single;Unknown;Blue;47;6;2;7469;2338;5131;1212;33;
714886533;Existing Customer;60;F;2;High School;Married;Less than $40K;Blue;36;4;3;3460;2517;943;1752;34;
772375533;Existing Customer;30;M;1;Graduate;Married;$80K - $120K;Blue;19;5;3;9959;2377;7582;1560;39;
826775058;Existing Customer;43;F;3;Uneducated;Married;Less than $40K;Blue;39;4;1;4175;2517;1658;1520;36;
711878733;Existing Customer;60;M;1;Uneducated;Married;$60K - $80K;Blue;48;3;1;10264;2073;8191;1685;45;
714550383;Existing Customer;46;M;2;High School;Single;$40K - $60K;Blue;36;4;3;4129;0;4129;1678;40;
712636308;Existing Customer;65;F;2;High School;Married;$40K - $60K;Blue;45;6;2;2658;1514;1144;1627;26;
772139433;Existing Customer;44;F;2;College;Single;$40K - $60K;Blue;33;4;2;4589;1240;3349;1637;61;
709058808;Existing Customer;56;F;2;College;Married;Less than $40K;Blue;36;6;1;2781;1035;1746;1707;42;
813240408;Existing Customer;45;F;4;High School;Married;Unknown;Blue;39;4;3;24880;836;24044;1208;25;
767753958;Existing Customer;37;M;3;Graduate;Unknown;$40K - $60K;Blue;31;6;1;8504;1956;6548;1881;51;
710111733;Existing Customer;48;M;2;High School;Married;$80K - $120K;Blue;39;5;1;8091;1996;6095;1360;28;
761544333;Existing Customer;37;F;4;College;Married;$40K - $60K;Blue;30;4;4;3417;2517;900;1641;32;
788814783;Existing Customer;39;M;1;Uneducated;Single;$60K - $80K;Blue;22;4;3;9204;845;8359;1820;58;
715034358;Existing Customer;41;M;2;Graduate;Married;$120K +;Blue;32;5;2;14302;2097;12205;1505;35;
709624533;Existing Customer;55;F;2;High School;Married;Less than $40K;Blue;45;5;2;3187;2517;670;1627;38;
709942383;Existing Customer;34;M;1;Graduate;Married;$80K - $120K;Blue;36;5;3;6313;782;5531;1703;34;
803957508;Existing Customer;52;M;2;Unknown;Single;$80K - $120K;Blue;47;6;1;15904;1024;14880;1433;33;
713378133;Existing Customer;54;F;0;Post-Graduate;Single;Less than $40K;Silver;39;6;2;11696;2288;9408;2445;60;
709217358;Existing Customer;40;M;3;Post-Graduate;Married;$80K - $120K;Blue;36;5;3;20371;1832;18539;1665;45;
720998358;Existing Customer;52;M;0;High School;Married;$120K +;Silver;41;3;3;34516;1043;33473;1489;38;
721051908;Existing Customer;45;M;3;Graduate;Single;$60K - $80K;Blue;33;3;1;7552;0;7552;1393;32;
715232058;Existing Customer;61;M;0;Post-Graduate;Married;$40K - $60K;Blue;53;5;1;5561;1434;4127;1820;42;
806250783;Existing Customer;57;F;2;High School;Married;Less than $40K;Blue;52;6;3;1441;0;1441;2742;58;
817245183;Existing Customer;51;M;2;Unknown;Unknown;$120K +;Blue;33;6;2;19715;1014;18701;1979;40;
713670333;Existing Customer;60;M;1;Unknown;Single;Less than $40K;Blue;52;5;3;2486;1464;1022;1378;27;
826477083;Existing Customer;48;F;2;College;Married;Less than $40K;Blue;44;5;1;4570;2439;2131;1520;34;
788728608;Existing Customer;34;M;0;High School;Married;$40K - $60K;Blue;13;3;3;3870;1394;2476;1588;36;
717190533;Existing Customer;49;M;4;High School;Married;$60K - $80K;Blue;36;6;3;12938;661;12277;1282;32;
716580033;Existing Customer;53;M;3;High School;Married;$120K +;Blue;36;3;1;21178;1796;19382;1872;59;
711644508;Existing Customer;34;M;2;Uneducated;Single;$80K - $120K;Blue;36;3;2;12182;1136;11046;2295;63;
714334383;Existing Customer;54;M;2;Graduate;Married;$60K - $80K;Blue;42;6;2;3583;0;3583;1065;28;
720611058;Existing Customer;40;M;3;Graduate;Single;$120K +;Blue;27;4;2;17018;0;17018;1550;47;
712420833;Existing Customer;49;F;5;College;Single;Unknown;Blue;41;6;3;16031;2245;13786;1527;57;
713845083;Attrited Customer;41;F;4;High School;Single;Less than $40K;Blue;36;6;2;4203;2517;1686;1489;43;
713756508;Existing Customer;46;M;3;Graduate;Divorced;Less than $40K;Blue;36;5;1;4213;997;3216;1264;30;
735565158;Existing Customer;46;M;4;Graduate;Married;$60K - $80K;Blue;33;6;2;21548;1180;20368;1582;38;
714131058;Existing Customer;30;M;0;Graduate;Unknown;$60K - $80K;Blue;36;3;5;18513;2517;15996;1567;33;
717180633;Existing Customer;59;M;1;Post-Graduate;Married;$40K - $60K;Blue;36;4;2;2483;1372;1111;1704;35;
717295683;Existing Customer;50;M;0;Doctorate;Single;$80K - $120K;Blue;38;5;2;3460;1881;1579;1546;35;
713128833;Existing Customer;49;M;2;Unknown;Unknown;$60K - $80K;Blue;36;5;3;6511;1790;4721;1478;38;
813499458;Attrited Customer;45;M;5;High School;Unknown;$60K - $80K;Blue;40;3;3;1438.3;0;1438.3;2132;31;
710070183;Existing Customer;53;F;1;High School;Single;Less than $40K;Blue;36;3;2;2615;1772;843;1419;38;
789605658;Existing Customer;42;F;1;Doctorate;Married;$40K - $60K;Blue;35;4;3;2985;2355;630;1065;27;
710045058;Existing Customer;46;M;5;High School;Married;$40K - $60K;Silver;28;5;1;18797;2158;16639;1364;40;
710164683;Existing Customer;33;M;1;Graduate;Married;$60K - $80K;Blue;22;3;1;2859;2517;342;2247;36;
710802258;Existing Customer;46;F;2;Graduate;Married;Less than $40K;Blue;38;4;3;2888;2245;643;1111;26;
721036233;Existing Customer;61;M;0;High School;Married;$60K - $80K;Blue;36;4;3;9172;1567;7605;1836;42;
710036508;Existing Customer;42;M;5;Uneducated;Married;$40K - $60K;Blue;34;5;3;14281;1519;12762;1164;35;
717776808;Existing Customer;47;F;4;Graduate;Single;Less than $40K;Blue;39;3;2;7353;1450;5903;2005;54;
714906033;Existing Customer;47;F;2;Graduate;Single;Less than $40K;Blue;36;6;2;5145;0;5145;1588;35;
714273708;Existing Customer;53;F;4;Graduate;Married;$40K - $60K;Blue;36;3;2;4753;2472;2281;2242;49;
721117533;Existing Customer;46;F;3;Graduate;Single;Less than $40K;Blue;26;3;3;2171;1418;753;1415;45;
715374558;Existing Customer;26;M;0;College;Divorced;Less than $40K;Blue;36;5;2;4150;456;3694;2483;74;
824807658;Existing Customer;45;M;3;Graduate;Married;$60K - $80K;Blue;41;6;3;9106;2477;6629;1239;33;
714940608;Existing Customer;36;M;2;High School;Divorced;$40K - $60K;Blue;36;3;3;2686;1733;953;2057;53;
824782008;Existing Customer;42;M;3;High School;Unknown;$60K - $80K;Blue;38;5;1;10239;510;9729;1228;26;
717561108;Existing Customer;52;M;1;Graduate;Married;$80K - $120K;Blue;36;4;3;34516;549;33967;1629;32;
717127083;Existing Customer;37;M;3;Graduate;Married;$120K +;Blue;25;3;3;15017;1733;13284;2076;58;
772460508;Existing Customer;53;M;1;Uneducated;Married;$40K - $60K;Blue;43;3;1;4426;1530;2896;1231;34;
720484908;Existing Customer;65;F;1;Post-Graduate;Married;$40K - $60K;Blue;52;5;3;2155;0;2155;1655;27;
771237933;Existing Customer;47;M;1;Uneducated;Unknown;$80K - $120K;Blue;34;4;1;20620;1085;19535;1477;23;
794664183;Existing Customer;38;M;0;Uneducated;Married;$60K - $80K;Blue;19;3;1;3238;2146;1092;1501;45;
797488158;Existing Customer;52;M;2;High School;Married;$60K - $80K;Blue;46;5;3;14316;1081;13235;1313;36;
708543258;Existing Customer;36;M;3;High School;Married;$80K - $120K;Blue;36;5;3;2607;1880;727;2045;39;
778706508;Existing Customer;43;M;4;College;Married;$60K - $80K;Blue;24;3;5;6231;0;6231;1448;30;
712240083;Attrited Customer;38;F;3;Unknown;Single;Less than $40K;Blue;30;6;2;3730;2517;1213;858;22;
713650683;Existing Customer;65;F;0;Graduate;Married;Less than $40K;Blue;56;4;1;3094;2266;828;1591;37;
772532208;Attrited Customer;51;F;2;Doctorate;Married;Less than $40K;Blue;41;2;2;6630;916;5714;842;24;
778929783;Attrited Customer;40;M;3;Graduate;Divorced;$80K - $120K;Blue;22;2;2;1925;0;1925;781;28;
714244383;Existing Customer;39;M;3;College;Unknown;$80K - $120K;Blue;36;4;2;33406;1692;31714;1529;30;
718797558;Existing Customer;39;F;1;Graduate;Married;Unknown;Blue;30;3;2;2917;1357;1560;2422;46;
712821333;Existing Customer;60;M;0;Uneducated;Married;$60K - $80K;Blue;47;3;3;9452;2517;6935;1825;50;
721120008;Existing Customer;43;F;2;Uneducated;Single;$40K - $60K;Blue;29;6;3;2162;1377;785;1555;29;
709633533;Existing Customer;31;M;2;Uneducated;Married;Less than $40K;Blue;18;3;2;1438.3;0;1438.3;2789;50;
710789058;Existing Customer;55;M;1;Graduate;Single;$120K +;Blue;42;4;2;34516;1478;33038;1308;41;
716174433;Existing Customer;65;F;1;College;Married;Less than $40K;Blue;54;3;3;2888;1134;1754;2489;54;
789886533;Existing Customer;54;F;1;High School;Married;Less than $40K;Blue;44;3;3;3947;1746;2201;1110;21;
715210308;Existing Customer;40;F;1;High School;Married;Unknown;Blue;31;3;3;15970;1212;14758;1260;32;
721038408;Existing Customer;38;F;2;High School;Married;Less than $40K;Blue;27;4;1;1830;0;1830;1741;43;
713325108;Existing Customer;36;M;2;Post-Graduate;Married;$60K - $80K;Blue;29;5;3;7712;2517;5195;1845;40;
720352533;Existing Customer;43;M;3;High School;Unknown;$60K - $80K;Blue;36;5;3;20811;1425;19386;1483;38;
708431433;Existing Customer;41;M;3;Graduate;Married;$120K +;Blue;31;3;3;11789;1420;10369;1463;32;
716996583;Existing Customer;50;M;3;High School;Divorced;$120K +;Blue;37;3;1;3073;1792;1281;1734;35;
718699683;Existing Customer;48;M;3;College;Married;$80K - $120K;Silver;36;6;2;34516;0;34516;1733;54;
771359958;Existing Customer;39;M;4;Unknown;Single;$120K +;Silver;26;6;2;34516;2517;31999;1689;42;
716604633;Existing Customer;55;F;2;Post-Graduate;Married;$40K - $60K;Blue;46;6;2;6725;2025;4700;1865;53;
813952233;Existing Customer;44;M;3;Graduate;Unknown;Less than $40K;Blue;39;5;2;2978;2134;844;1413;46;
713053383;Attrited Customer;42;M;3;Graduate;Married;$80K - $120K;Blue;36;1;1;34516;781;33735;853;12;
709979583;Existing Customer;54;M;3;Graduate;Married;$120K +;Blue;46;3;1;34516;854;33662;1999;54;
709380333;Existing Customer;57;M;1;Uneducated;Married;$120K +;Blue;36;6;2;24545;1735;22810;1671;45;
778574283;Existing Customer;53;F;1;Uneducated;Married;$40K - $60K;Blue;46;5;2;1438.3;0;1438.3;2118;64;
789875883;Existing Customer;41;F;4;Uneducated;Single;Less than $40K;Blue;31;5;1;2490;627;1863;1391;45;
714661233;Existing Customer;39;M;1;Graduate;Single;$120K +;Blue;24;6;2;10074;2517;7557;1729;52;
813915933;Existing Customer;45;M;2;Graduate;Divorced;$40K - $60K;Blue;40;3;3;2259;954;1305;1393;35;
708358683;Existing Customer;46;M;2;Graduate;Married;$80K - $120K;Silver;35;6;3;34516;1236;33280;1665;40;
824761458;Existing Customer;54;M;2;High School;Married;$80K - $120K;Blue;50;4;2;9519;1936;7583;2489;62;
715362183;Existing Customer;40;F;4;Graduate;Married;Unknown;Blue;36;3;1;3706;1043;2663;1688;38;
721194858;Existing Customer;48;M;4;Graduate;Unknown;$80K - $120K;Blue;40;6;2;4438;2472;1966;1725;60;
803595858;Attrited Customer;56;F;3;High School;Married;$40K - $60K;Blue;51;5;2;1438.3;0;1438.3;594;14;
716198358;Existing Customer;33;F;4;Post-Graduate;Married;$40K - $60K;Blue;36;4;2;2372;1887;485;1852;55;
714173808;Existing Customer;44;F;4;Graduate;Single;Less than $40K;Blue;34;5;1;4214;1249;2965;1389;34;
709465758;Existing Customer;62;F;1;Post-Graduate;Married;Less than $40K;Blue;53;3;1;1438.3;0;1438.3;902;31;
714081558;Existing Customer;33;F;0;Graduate;Married;Unknown;Blue;36;4;2;2613;1599;1014;1387;31;
717364458;Existing Customer;36;F;3;High School;Married;Less than $40K;Blue;26;6;1;4331;1445;2886;2053;33;
778755858;Existing Customer;46;M;3;Graduate;Unknown;$80K - $120K;Blue;27;5;1;3665;1725;1940;1881;55;
710754933;Attrited Customer;61;F;0;Graduate;Married;Less than $40K;Blue;49;6;2;1438.3;0;1438.3;840;20;
720007383;Attrited Customer;41;F;2;Unknown;Single;Unknown;Blue;28;2;1;4411;2517;1894;803;15;
810220833;Existing Customer;42;M;4;Graduate;Unknown;$40K - $60K;Silver;37;3;6;15871;2086;13785;1562;43;
718362783;Attrited Customer;35;M;2;Graduate;Married;$80K - $120K;Blue;27;3;2;12643;0;12643;787;21;
708267858;Existing Customer;65;F;0;High School;Married;$40K - $60K;Blue;36;5;2;6088;2145;3943;2098;52;
708856983;Attrited Customer;36;M;3;Post-Graduate;Married;$120K +;Blue;27;2;1;13873;0;13873;694;18;
715588908;Existing Customer;42;F;4;Graduate;Single;Less than $40K;Blue;32;3;2;6158;0;6158;3132;66;
772674933;Existing Customer;51;M;1;Uneducated;Married;$80K - $120K;Blue;41;5;3;5638;808;4830;2036;50;
720148983;Existing Customer;54;F;1;Uneducated;Married;Less than $40K;Blue;40;5;2;2178;1144;1034;1724;47;
720650208;Existing Customer;40;F;3;College;Unknown;$40K - $60K;Blue;22;3;3;12588;2005;10583;1561;26;
769732233;Existing Customer;40;M;5;Graduate;Married;$80K - $120K;Blue;34;6;2;11942;1651;10291;1085;29;
713030958;Existing Customer;57;F;2;College;Married;Less than $40K;Blue;44;6;3;3914;0;3914;1964;54;
711320508;Existing Customer;57;M;4;Graduate;Married;$80K - $120K;Blue;49;4;2;3038;1410;1628;1762;34;
795795408;Existing Customer;53;M;2;Uneducated;Married;$40K - $60K;Blue;47;3;1;5579;1423;4156;1514;47;
717904383;Existing Customer;40;M;2;Graduate;Married;$80K - $120K;Blue;31;5;1;18693;2052;16641;1516;44;
714115533;Existing Customer;28;M;0;Graduate;Married;Less than $40K;Blue;18;5;1;2943;1789;1154;2591;55;
712475733;Existing Customer;38;F;3;High School;Married;Less than $40K;Blue;28;4;2;2435;1888;547;1847;39;
718996758;Existing Customer;37;F;2;Graduate;Married;Less than $40K;Blue;30;5;2;2077;1392;685;1629;36;
713049933;Existing Customer;65;F;1;High School;Married;Unknown;Blue;36;5;2;5756;0;5756;2144;44;
709961958;Attrited Customer;58;F;4;High School;Divorced;Unknown;Blue;45;4;1;21065;2517;18548;1060;32;
718301508;Existing Customer;41;M;2;High School;Married;$60K - $80K;Blue;30;6;3;9428;1765;7663;1457;43;
714831033;Existing Customer;54;M;5;Graduate;Married;$80K - $120K;Blue;47;4;1;6065;1728;4337;1114;27;
710653158;Existing Customer;39;F;4;Graduate;Married;Unknown;Blue;21;6;1;5024;1613;3411;1925;40;
721265883;Existing Customer;26;M;1;Graduate;Single;Less than $40K;Blue;13;3;3;2174;1514;660;2510;44;
715049583;Existing Customer;60;M;1;Unknown;Married;$60K - $80K;Blue;54;5;3;3398;2341;1057;1169;31;
715394883;Existing Customer;35;F;2;High School;Married;Unknown;Blue;36;3;2;4319;1151;3168;1852;47;
773448558;Existing Customer;46;M;3;Graduate;Divorced;$80K - $120K;Blue;40;6;3;3673;2292;1381;1257;34;
717249783;Existing Customer;47;M;4;Unknown;Unknown;$60K - $80K;Blue;39;5;2;1815;740;1075;1931;67;
708344358;Existing Customer;53;F;3;High School;Married;Unknown;Blue;45;5;1;2495;1354;1141;1311;31;
712003083;Existing Customer;55;M;1;Graduate;Married;$80K - $120K;Blue;36;3;2;34516;2102;32414;1612;33;
754282908;Existing Customer;50;F;1;Post-Graduate;Married;Less than $40K;Blue;43;3;1;3368;844;2524;2022;59;
717412608;Attrited Customer;38;F;2;High School;Married;$40K - $60K;Blue;28;3;2;7225;0;7225;738;16;
719412258;Existing Customer;39;F;3;Graduate;Single;Less than $40K;Blue;30;5;3;5202;815;4387;1558;48;
788675658;Existing Customer;39;F;2;Unknown;Single;Less than $40K;Blue;29;6;2;1923;845;1078;1670;37;
717683583;Existing Customer;39;M;3;High School;Single;$60K - $80K;Blue;36;4;2;6929;1691;5238;1388;27;
820584408;Existing Customer;49;F;3;Graduate;Single;Less than $40K;Blue;44;3;3;4364;1507;2857;1392;38;
719392833;Existing Customer;45;F;3;Graduate;Married;Less than $40K;Blue;38;3;3;2400;1613;787;1311;34;
718595583;Existing Customer;55;M;3;Graduate;Married;$80K - $120K;Blue;36;3;2;25878;1733;24145;1777;54;
778508883;Existing Customer;44;M;5;Graduate;Married;$120K +;Blue;24;4;1;11876;1926;9950;1367;33;
715511658;Existing Customer;49;F;5;Post-Graduate;Unknown;$40K - $60K;Blue;39;3;1;4568;0;4568;1431;27;
711999783;Existing Customer;41;M;3;Uneducated;Married;$80K - $120K;Blue;31;4;2;4740;1348;3392;1406;23;
753856008;Existing Customer;49;F;2;Unknown;Unknown;$40K - $60K;Blue;42;6;1;4949;1495;3454;3597;64;
789920883;Existing Customer;45;F;3;Graduate;Single;Unknown;Blue;36;3;3;11189;2517;8672;2959;58;
788677533;Existing Customer;44;M;4;Unknown;Married;$120K +;Blue;31;4;3;34516;1197;33319;1594;43;
716284308;Existing Customer;65;M;2;Graduate;Married;Unknown;Blue;55;3;2;6099;2175;3924;1319;34;
712120608;Attrited Customer;35;M;3;College;Married;$80K - $120K;Blue;27;3;2;3575;1884;1691;861;15;
715482483;Existing Customer;26;M;0;High School;Single;Unknown;Blue;36;5;2;3184;1421;1763;2253;59;
720848733;Existing Customer;38;M;1;High School;Married;$80K - $120K;Blue;24;4;3;13363;1230;12133;1815;33;
708480333;Existing Customer;65;M;0;Unknown;Single;$40K - $60K;Blue;36;5;2;2163;932;1231;2229;57;
826723308;Existing Customer;58;M;3;College;Married;$120K +;Blue;54;5;1;3452;2088;1364;1008;21;
801369258;Existing Customer;47;F;5;Post-Graduate;Married;$40K - $60K;Blue;41;6;2;4466;777;3689;1757;59;
709584483;Existing Customer;33;F;3;Graduate;Married;Less than $40K;Blue;25;4;1;3030;2517;513;1805;44;
715708308;Existing Customer;54;F;3;Doctorate;Married;$40K - $60K;Blue;39;3;1;2112;1594;518;1338;29;
779707308;Existing Customer;35;F;1;Graduate;Married;Less than $40K;Blue;18;5;1;7583;1619;5964;2229;53;
711688158;Existing Customer;47;M;5;Graduate;Single;$120K +;Blue;27;5;3;11760;2306;9454;1498;49;
711848658;Existing Customer;35;M;3;College;Married;$60K - $80K;Blue;17;3;3;2259;1776;483;1790;31;
715855083;Existing Customer;48;M;4;High School;Married;$80K - $120K;Blue;36;6;2;19762;507;19255;2793;67;
778971408;Existing Customer;36;M;4;Doctorate;Married;$60K - $80K;Blue;17;5;2;2803;1848;955;1968;64;
711648708;Existing Customer;44;M;3;Graduate;Married;$80K - $120K;Blue;36;3;3;25666;756;24910;4088;84;
713149683;Existing Customer;44;F;3;College;Single;Less than $40K;Blue;24;5;1;9297;1668;7629;1264;31;
771903033;Existing Customer;36;F;1;Graduate;Married;Less than $40K;Blue;25;5;1;2999;1247;1752;2017;40;
737925558;Existing Customer;64;M;0;Doctorate;Married;$40K - $60K;Blue;56;3;2;4234;1893;2341;1439;42;
